0 8 70 0 -1420 0 0 1420 0
0 8 70 1 -1420 -8.9 1 1420 0
0 8 70 2 -1420 -17.8 2 1420 0
0 8 70 3 -1420 -26.7 3 1420 0
0 8 70 4 -1420 -35.6 4 1420 0
0 8 70 5 -1420 -44.5 5 1420 0
0 8 70 6 -1420 -53.4 6 1420 0
0 8 70 7 -1420 -62.3 7 1420 0
0 8 70 8 -1420 -71.2 8 1420 0
0 8 70 9 -1420 -80.1 9 1420 0
0 8 70 10 -1420 -89 10 1420 0
0 8 70 11 -1420 -97.9 11 1420 0
0 8 70 12 -1420 -106.8 12 1420 0
0 8 70 13 -1420 -115.7 13 1420 0
0 8 70 14 -1420 -124.6 14 1420 0
0 8 70 15 -1420 -133.5 15 1420 0
0 8 70 16 -1420 -142.4 16 1420 0
0 8 70 17 -1420 -151.3 17 1420 0
0 8 70 18 -1420 -160.2 18 1420 0
0 8 70 19 -1420 -169.1 19 1420 0
0 8 70 20 -1420 -178 20 1420 0
0 8 70 21 -1420 -186.9 21 1420 0
0 8 70 22 -1420 -195.8 22 1420 0
0 8 70 23 -1420 -204.7 23 1420 0
0 8 70 24 -1420 -213.6 24 1420 0
0 8 70 25 -1420 -222.5 25 1420 0
0 8 70 26 -1420 -231.4 26 1420 0
0 8 70 27 -1420 -240.3 27 1420 0
0 8 70 28 -1420 -249.2 28 1420 0
0 8 70 29 -1420 -258.1 29 1420 0
0 8 70 30 -1420 -267 30 1420 0
0 8 70 31 -1420 -275.9 31 1420 0
0 8 71 0 -1623.12 105.081 0 1670 0
0 8 71 1 -1573.73 267.113 0 1850 0
0 8 71 2 -1627.85 91.7881 1 1670 0
0 8 71 3 -1595.43 259.206 1 1850 0
0 8 71 4 -1419.99 297.496 1 2040.62 0
0 8 71 5 -1631.92 78.7558 2 1670 0
0 8 71 6 -1615.17 249.428 2 1850 0
0 8 71 7 -1457.23 316.248 2 2030 0
0 8 71 8 -1635.45 65.9799 3 1670 0
0 8 71 9 -1633.07 238.281 3 1850 0
